TOWN11CD,Town name,Educational attainment score,Income deprivation score
E34000007,Carlton in Lindrick BUA,-0.53,0.85
E34000016,Dorchester (West Dorset) BUA,1.95,0.91
E34000020,Ely BUA,-1.04,0.93
E34000026,Market Weighton BUA,-1.25,0.94
E34000027,Downham Market BUA,-1.17,0.88
E34000039,Penrith BUA,0.85,0.91
E34000048,Bolsover BUA,-3.72,0.84
E34000055,March BUA,-2.17,0.87
E34000056,Southam BUA,6.44,0.92
E34000067,Royston BUA,0.30,0.95
E34000068,Studley BUA,4.30,0.91
E34000086,Irthlingborough BUA,-4.00,0.90
E34000109,Freshwater BUA,-5.02,0.87
E34000115,Barnoldswick BUA,-1.27,0.90
E34000156,Wirksworth BUA,-1.26,0.91
E34000161,Dalton-in-Furness BUA,-0.72,0.90
E34000174,Bedlington BUA,-4.06,0.84
E34000175,Brigg BUA,0.74,0.88
E34000181,Widnes BUA,0.26,0.84
E34000182,Hethersett BUA,1.61,0.93
E34000184,Coningsby Airfield BUA,-3.96,0.89
E34000188,Amble BUA,-7.09,0.85
E34000193,Skelton (Redcar and Cleveland) BUA,1.38,0.82
E34000231,Seaford BUA,0.18,0.91
E34000234,Ryhill BUA,-3.81,0.81
E34000242,Budleigh Salterton BUA,1.42,0.93
E34000250,Great Dunmow BUA,-0.31,0.92
E34000271,Wideopen BUA,-0.96,0.90
E34000273,Frodsham BUA,4.00,0.92
E34000278,Rothwell BUA,-6.16,0.88
E34000290,Chard BUA,-4.27,0.87
E34000306,Hook (Hart) BUA,3.86,0.96
E34000310,Rainworth BUA,-0.24,0.87
E34000313,Beverley BUA,2.76,0.91
E34000327,Haverhill BUA,-2.56,0.90
E34000353,St Leonards BUA,6.61,0.95
E34000360,Upton (Wakefield) BUA,-0.51,0.86
E34000363,Wincanton BUA,-6.01,0.90
E34000387,Chinnor BUA,-0.16,0.96
E34000396,Thurcroft BUA,-6.37,0.78
E34000403,Exmouth BUA,-3.33,0.90
E34000409,Bolton-le-Sands BUA,6.36,0.95
E34000416,Crediton BUA,-1.81,0.89
E34000430,Henley-on-Thames BUA,3.36,0.94
E34000440,Snodland BUA,-1.97,0.88
E34000458,Meltham BUA,5.80,0.91
E34000469,Minehead BUA,-2.85,0.88
E34000473,Daventry BUA,-3.30,0.89
E34000482,Keyworth BUA,5.63,0.94
E34000490,Deal BUA,-3.14,0.88
E34000499,Hythe BUA,-1.99,0.91
E34000504,Ibstock BUA,-2.90,0.89
E34000508,Market Deeping BUA,3.51,0.93
E34000509,Horncastle BUA,3.42,0.87
E34000521,Glastonbury BUA,-0.55,0.84
E34000527,Witham BUA,-3.92,0.88
E34000550,Holmes Chapel BUA,6.66,0.95
E34000553,Whaley Bridge BUA,3.81,0.94
E34000567,Gerrards Cross BUA,9.96,0.96
E34000573,Ulverston BUA,0.19,0.91
E34000574,Chapeltown BUA,1.22,0.89
E34000589,Hornsea BUA,1.57,0.88
E34000591,Wem BUA,2.13,0.89
E34000597,Loughborough BUA,-1.85,0.90
E34000628,Maghull BUA,3.75,0.92
E34000633,Southport BUA,2.32,0.87
E34000645,Thornbury BUA,3.30,0.94
E34000656,Street BUA,1.19,0.90
E34000682,Bishop's Waltham BUA,-2.15,0.93
E34000692,Frome BUA,-2.83,0.88
E34000697,Bagshot BUA,1.75,0.94
E34000710,Ross-on-Wye BUA,-2.97,0.88
E34000712,Storrington BUA,4.61,0.94
E34000732,Alnwick BUA,-1.47,0.88
E34000741,Billinge BUA,3.53,0.92
E34000755,Hailsham BUA,-4.11,0.88
E34000762,Richmond BUA,4.58,0.92
E34000766,Cheddar BUA,3.81,0.92
E34000768,Oakley (Basingstoke and Deane) BUA,7.02,0.96
E34000776,Mablethorpe BUA,-2.94,0.75
E34000786,Lutterworth BUA,-0.07,0.93
E34000792,Sawston BUA,1.19,0.94
E34000796,Sidmouth BUA,1.24,0.93
E34000815,Epping BUA,3.11,0.91
E34000830,Torpoint BUA,-0.72,0.88
E34000839,Hilton (South Derbyshire) BUA,1.07,0.95
E34000843,Burghfield Common BUA,1.79,0.94
E34000850,Buckingham BUA,5.49,0.94
E34000852,Netley BUA,-2.94,0.92
E34000857,Brackley BUA,2.15,0.95
E34000867,Ivybridge BUA,2.84,0.93
E34000879,Marske-by-the-Sea BUA,1.13,0.89
E34000884,Denmead BUA,2.29,0.93
E34000885,Paddock Wood BUA,-0.32,0.92
E34000891,Garforth BUA,4.64,0.94
E34000922,Northallerton BUA,-1.44,0.91
E34000926,Tenterden BUA,-0.36,0.92
E34000935,Market Warsop BUA,-2.48,0.82
E34000969,Tadcaster BUA,1.59,0.93
E34000970,Long Ashton BUA,1.13,0.95
E34000980,Hayle BUA,-0.83,0.84
E34000991,Conisbrough BUA,-6.04,0.79
E34000994,Nantwich BUA,2.98,0.92
E34001024,Market Drayton BUA,-5.45,0.88
E34001039,Portishead BUA,3.95,0.95
E34001050,Crofton BUA,1.82,0.91
E34001052,Wotton-under-Edge BUA,2.54,0.93
E34001064,Marple BUA,5.87,0.93
E34001066,Southwell BUA,8.27,0.95
E34001067,Dawlish BUA,-4.04,0.88
E34001068,Dronfield BUA,4.98,0.94
E34001070,Wootton Bassett BUA,1.31,0.91
E34001073,Hawkinge BUA,0.09,0.90
E34001102,Peasedown St John BUA,-2.35,0.91
E34001108,New Waltham BUA,2.20,0.94
E34001117,Dinnington (Rotherham) BUA,-0.78,0.86
E34001119,Stansted Mountfitchet BUA,0.87,0.94
E34001126,Balsall Common BUA,7.66,0.95
E34001129,Bayston Hill BUA,4.10,0.94
E34001202,Faringdon BUA,1.29,0.91
E34001214,Weaverham BUA,-0.39,0.88
E34001232,Ilminster BUA,-2.59,0.90
E34001233,Ferryhill BUA,-3.05,0.75
E34001247,Raunds BUA,-3.53,0.92
E34001263,Halstead BUA,-4.03,0.89
E34001267,Newport (Isle of Wight) BUA,-4.98,0.85
E34001322,Ponteland BUA,5.06,0.96
E34001339,Measham BUA,-3.34,0.91
E34001373,Oakham BUA,2.04,0.93
E34001392,Brotton BUA,0.05,0.83
E34001398,Okehampton BUA,-1.36,0.88
E34001401,Great Wakering BUA,-0.37,0.91
E34001416,Clitheroe BUA,3.29,0.92
E34001422,Helsby BUA,8.52,0.94
E34001430,Petersfield BUA,2.74,0.94
E34001434,Louth BUA,-4.09,0.84
E34001445,Ashington (Northumberland) BUA,-4.71,0.80
E34001461,Newmarket BUA,-3.13,0.92
E34001475,Culcheth BUA,5.98,0.94
E34001481,Heswall BUA,6.67,0.93
E34001491,Sheerness BUA,-9.79,0.67
E34001493,Driffield BUA,0.01,0.91
E34001504,Retford BUA,-2.51,0.87
E34001518,Radcliffe on Trent BUA,4.55,0.94
E34001520,Ruskington BUA,4.08,0.89
E34001537,Wigton BUA,0.04,0.89
E34001545,Leominster BUA,-5.34,0.83
E34001604,Bodmin BUA,-2.33,0.82
E34001609,Caister-on-Sea BUA,-1.18,0.87
E34001645,Devizes BUA,-3.33,0.90
E34001686,Cotgrave BUA,-0.06,0.91
E34001696,Wingate BUA,-0.54,0.84
E34001704,Elland BUA,0.27,0.87
E34001711,Bishop's Stortford BUA,6.42,0.95
E34001715,Kenilworth BUA,7.80,0.95
E34001733,Hungerford BUA,0.08,0.91
E34001739,Countesthorpe BUA,6.56,0.95
E34001750,Easington (County Durham) BUA,-2.06,0.81
E34001759,New Romney BUA,-4.69,0.88
E34001766,Highworth BUA,1.72,0.93
E34001807,Washingborough BUA,1.23,0.94
E34001850,South Ockendon BUA,-3.33,0.83
E34001881,Chipping Norton BUA,0.65,0.92
E34001895,West Chiltington Common BUA,2.96,0.94
E34001896,New Rossington BUA,-4.46,0.83
E34001940,Brightlingsea BUA,-0.12,0.90
E34001958,Stanford-le-Hope BUA,-1.52,0.91
E34001962,Yeovil BUA,-2.57,0.89
E34001966,North Baddesley BUA,2.19,0.92
E34001982,Amesbury BUA,-2.41,0.92
E34001993,Crook BUA,-0.98,0.79
E34002010,Shipston-on-Stour BUA,1.47,0.92
E34002041,Maldon BUA,-0.33,0.90
E34002053,Sudbury BUA,-5.08,0.89
E34002054,Brandon (County Durham) BUA,0.54,0.85
E34002061,Ormskirk BUA,6.23,0.93
E34002074,Blyth (Northumberland) BUA,-6.36,0.80
E34002085,Holbeach BUA,-1.75,0.88
E34002105,East Horsley BUA,10.77,0.97
E34002125,Burwell BUA,4.40,0.94
E34002141,Darlington BUA,-0.80,0.83
E34002160,Axminster BUA,-2.66,0.89
E34002161,Looe BUA,-0.04,0.87
E34002164,Southwater BUA,4.61,0.96
E34002172,Cranfield BUA,2.88,0.97
E34002176,Norton Canes BUA,-6.21,0.87
E34002180,Newquay BUA,-0.42,0.85
E34002182,Hemsworth BUA,-6.65,0.81
E34002191,Lightwater BUA,6.77,0.97
E34002199,Bewdley BUA,2.18,0.91
E34002202,Sawtry BUA,1.46,0.93
E34002212,Millom BUA,-6.92,0.84
E34002254,Thirsk BUA,-1.76,0.91
E34002257,Huntingdon BUA,-4.35,0.89
E34002285,Shirebrook BUA,-4.06,0.82
E34002367,Sherborne BUA,-4.05,0.90
E34002384,Silsden BUA,3.18,0.94
E34002432,Willington (County Durham) BUA,-1.47,0.76
E34002433,South Molton BUA,-6.71,0.88
E34002446,Honiton BUA,-2.81,0.90
E34002470,Chippenham (Wiltshire) BUA,1.02,0.92
E34002474,Gillingham (North Dorset) BUA,1.32,0.92
E34002475,Redbourn BUA,7.17,0.94
E34002505,West Mersea BUA,0.70,0.93
E34002511,Tring BUA,5.65,0.94
E34002512,Guisborough BUA,0.60,0.89
E34002528,Olney BUA,10.75,0.95
E34002529,New Alresford BUA,2.59,0.95
E34002540,Marchwood BUA,2.02,0.94
E34002554,Rugeley BUA,-3.75,0.88
E34002562,Saffron Walden BUA,3.95,0.94
E34002605,Knutsford BUA,3.73,0.92
E34002608,Shepley BUA,3.28,0.96
E34002609,Biggleswade BUA,-1.06,0.92
E34002624,Ripon BUA,2.46,0.92
E34002637,Selsey BUA,-4.47,0.89
E34002653,Ilfracombe BUA,0.56,0.83
E34002678,Saltburn-by-the-Sea BUA,-0.40,0.86
E34002686,Ventnor BUA,-3.15,0.82
E34002689,Newton Aycliffe BUA,-1.48,0.83
E34002694,Newbiggin-by-the-Sea BUA,-9.62,0.75
E34002712,Filey BUA,-2.14,0.85
E34002717,Hoo St Werburgh BUA,-4.42,0.89
E34002727,Arlesey BUA,-2.73,0.92
E34002729,South Woodham Ferrers BUA,2.15,0.94
E34002730,Earls Barton BUA,1.71,0.93
E34002733,Lichfield BUA,2.17,0.91
E34002746,Calverton BUA,1.82,0.91
E34002766,Blackfield BUA,-3.87,0.89
E34002796,Yaxley BUA,-0.38,0.91
E34002801,Lymm BUA,8.13,0.95
E34002816,Dereham BUA,-4.17,0.89
E34002820,Shrewsbury BUA,0.57,0.89
E34002826,Witley BUA,3.08,0.93
E34002854,Newport (Telford and Wrekin) BUA,3.79,0.92
E34002872,Beaconsfield BUA,8.28,0.96
E34002877,Croesowallt BUA,-2.61,0.88
E34002878,Chapel-en-le-Frith BUA,2.55,0.92
E34002906,Longridge BUA,2.04,0.94
E34002917,Verwood BUA,0.65,0.95
E34002927,Whitchurch (Shropshire) BUA,-1.70,0.88
E34002963,Tidworth BUA,-6.79,0.95
E34002971,Bracebridge Heath BUA,7.12,0.93
E34002993,Barton-upon-Humber BUA,-1.36,0.86
E34003008,Aylsham BUA,-2.46,0.91
E34003021,Poringland BUA,-0.30,0.94
E34003024,Manningtree BUA,-0.63,0.92
E34003029,Keynsham BUA,2.40,0.91
E34003071,Sleaford BUA,0.01,0.90
E34003078,Barrow-in-Furness BUA,-4.45,0.81
E34003082,Wellesbourne BUA,4.89,0.94
E34003098,Clowne BUA,1.13,0.88
E34003102,Chatteris BUA,-1.87,0.88
E34003104,Brixham BUA,-4.39,0.84
E34003109,Murton (County Durham) BUA,-2.61,0.82
E34003112,Tiverton BUA,-3.83,0.88
E34003124,Hurstpierpoint BUA,2.08,0.95
E34003129,South Hayling BUA,-2.25,0.90
E34003154,Egremont BUA,-0.11,0.85
E34003165,Swaffham BUA,-3.05,0.85
E34003168,Ledbury BUA,-2.60,0.91
E34003174,Skipton BUA,0.24,0.90
E34003178,Bradford on Avon BUA,1.13,0.92
E34003196,Oundle BUA,1.00,0.95
E34003205,Sherburn in Elmet BUA,-1.05,0.93
E34003206,Ludlow BUA,-3.74,0.88
E34003218,Bingham BUA,5.92,0.93
E34003222,Lewes BUA,4.12,0.91
E34003241,Benson BUA,5.52,0.97
E34003243,Liphook BUA,3.98,0.94
E34003244,Haxby BUA,4.05,0.96
E34003253,Shaftesbury BUA,0.22,0.91
E34003258,Bungay BUA,-4.91,0.89
E34003294,Calne BUA,-0.53,0.89
E34003297,King's Hill BUA,5.53,0.96
E34003299,Cobham (Elmbridge) BUA,-0.22,0.96
E34003308,Beccles BUA,-1.11,0.88
E34003332,Tiptree BUA,-0.49,0.93
E34003343,Peacehaven BUA,-2.22,0.87
E34003347,Tetbury BUA,-1.16,0.92
E34003354,Leighton Buzzard BUA,-0.61,0.93
E34003376,Broughton Astley BUA,2.74,0.96
E34003389,Whittlesey BUA,-2.74,0.89
E34003397,Brandon (Forest Heath) BUA,-4.62,0.89
E34003412,Cottenham BUA,2.26,0.92
E34003418,Bourne BUA,3.67,0.92
E34003424,Staplehurst BUA,1.54,0.93
E34003425,Cheadle BUA,0.96,0.90
E34003440,Brixworth BUA,4.24,0.95
E34003456,Chipping Ongar BUA,-0.06,0.91
E34003462,Fleetwood BUA,-3.18,0.77
E34003463,Shildon BUA,-3.88,0.73
E34003490,Hemsby BUA,-0.95,0.87
E34003491,Ashby-de-la-Zouch BUA,4.83,0.92
E34003494,Wadebridge BUA,-0.73,0.90
E34003511,Harpenden BUA,11.03,0.96
E34003514,Halesworth BUA,-5.33,0.88
E34003517,Attleborough BUA,-3.01,0.92
E34003525,Fleet BUA,6.54,0.96
