"sampleID","patient","type","A1BG"
"TCGA-05-4244-01A","TCGA-05-4244","tumor",26.0302
"TCGA-05-4249-01A","TCGA-05-4249","tumor",120.1349
"TCGA-05-4250-01A","TCGA-05-4250","tumor",50.8597
"TCGA-05-4382-01A","TCGA-05-4382","tumor",145.9037
"TCGA-05-4384-01A","TCGA-05-4384","tumor",127.3671
"TCGA-05-4389-01A","TCGA-05-4389","tumor",67.1409
"TCGA-05-4390-01A","TCGA-05-4390","tumor",164.7134
"TCGA-05-4395-01A","TCGA-05-4395","tumor",21.9745
"TCGA-05-4396-01A","TCGA-05-4396","tumor",17.4375
"TCGA-05-4397-01A","TCGA-05-4397","tumor",126.5687
"TCGA-05-4398-01A","TCGA-05-4398","tumor",258.0731
"TCGA-05-4402-01A","TCGA-05-4402","tumor",48.4589
"TCGA-05-4403-01A","TCGA-05-4403","tumor",64.1674
"TCGA-05-4405-01A","TCGA-05-4405","tumor",146.1301
"TCGA-05-4410-01A","TCGA-05-4410","tumor",79.4037
"TCGA-05-4415-01A","TCGA-05-4415","tumor",31.9422
"TCGA-05-4417-01A","TCGA-05-4417","tumor",85.3059
"TCGA-05-4418-01A","TCGA-05-4418","tumor",161.1566
"TCGA-05-4420-01A","TCGA-05-4420","tumor",404.3334
"TCGA-05-4422-01A","TCGA-05-4422","tumor",129.0715
"TCGA-05-4424-01A","TCGA-05-4424","tumor",257.9695
"TCGA-05-4425-01A","TCGA-05-4425","tumor",47.1125
"TCGA-05-4426-01A","TCGA-05-4426","tumor",307.7644
"TCGA-05-4427-01A","TCGA-05-4427","tumor",96.4783
"TCGA-05-4430-01A","TCGA-05-4430","tumor",403.9809
"TCGA-05-4432-01A","TCGA-05-4432","tumor",136.0485
"TCGA-05-4433-01A","TCGA-05-4433","tumor",27.9669
"TCGA-05-4434-01A","TCGA-05-4434","tumor",101.3226
"TCGA-05-5420-01A","TCGA-05-5420","tumor",303.9139
"TCGA-05-5423-01A","TCGA-05-5423","tumor",709.7143
"TCGA-05-5425-01A","TCGA-05-5425","tumor",157.1776
"TCGA-05-5428-01A","TCGA-05-5428","tumor",1184.7918
"TCGA-05-5429-01A","TCGA-05-5429","tumor",93.5808
"TCGA-05-5715-01A","TCGA-05-5715","tumor",48.4091
"TCGA-35-3615-01A","TCGA-35-3615","tumor",51.9331
"TCGA-35-4122-01A","TCGA-35-4122","tumor",324.4121
"TCGA-35-4123-01A","TCGA-35-4123","tumor",407.0143
"TCGA-35-5375-01A","TCGA-35-5375","tumor",3840.1554
"TCGA-38-4625-01A","TCGA-38-4625","tumor",69.1411
"TCGA-38-4626-01A","TCGA-38-4626","tumor",121.9456
"TCGA-38-4627-01A","TCGA-38-4627","tumor",209.7811
"TCGA-38-4628-01A","TCGA-38-4628","tumor",938.5209
"TCGA-38-4629-01A","TCGA-38-4629","tumor",177.4335
"TCGA-38-4630-01A","TCGA-38-4630","tumor",119.5591
"TCGA-38-4631-01A","TCGA-38-4631","tumor",129.4851
"TCGA-38-4632-01A","TCGA-38-4632","tumor",873.6532
"TCGA-38-6178-01A","TCGA-38-6178","tumor",69.8518
"TCGA-38-7271-01A","TCGA-38-7271","tumor",127.5626
"TCGA-38-A44F-01A","TCGA-38-A44F","tumor",105.8048
"TCGA-44-2655-01A","TCGA-44-2655","tumor",104.752
"TCGA-44-2656-01A","TCGA-44-2656","tumor",45.1701
"TCGA-44-2657-01A","TCGA-44-2657","tumor",312.4899
"TCGA-44-2659-01A","TCGA-44-2659","tumor",82.4158
"TCGA-44-2661-01A","TCGA-44-2661","tumor",188.6359
"TCGA-44-2662-01A","TCGA-44-2662","tumor",84.4097
"TCGA-44-2665-01A","TCGA-44-2665","tumor",124.1888
"TCGA-44-2666-01A","TCGA-44-2666","tumor",20.8862
"TCGA-44-2668-01A","TCGA-44-2668","tumor",57.2201
"TCGA-44-3396-01A","TCGA-44-3396","tumor",192.0318
"TCGA-44-3398-01A","TCGA-44-3398","tumor",193.0321
"TCGA-44-3918-01A","TCGA-44-3918","tumor",320.9344
"TCGA-44-3919-01A","TCGA-44-3919","tumor",157.8016
"TCGA-44-4112-01A","TCGA-44-4112","tumor",281.3695
"TCGA-44-5643-01A","TCGA-44-5643","tumor",21.2282
"TCGA-44-5644-01A","TCGA-44-5644","tumor",130.8994
"TCGA-44-5645-01A","TCGA-44-5645","tumor",42.0711
"TCGA-44-6145-01A","TCGA-44-6145","tumor",54.3272
"TCGA-44-6146-01A","TCGA-44-6146","tumor",8.574
"TCGA-44-6147-01A","TCGA-44-6147","tumor",207.7978
"TCGA-44-6148-01A","TCGA-44-6148","tumor",115.6073
"TCGA-44-6774-01A","TCGA-44-6774","tumor",116.9981
"TCGA-44-6775-01A","TCGA-44-6775","tumor",127.7537
"TCGA-44-6776-01A","TCGA-44-6776","tumor",45.2011
"TCGA-44-6777-01A","TCGA-44-6777","tumor",126.3388
"TCGA-44-6778-01A","TCGA-44-6778","tumor",68.8515
"TCGA-44-6779-01A","TCGA-44-6779","tumor",22.1399
"TCGA-44-7659-01A","TCGA-44-7659","tumor",130.5605
"TCGA-44-7660-01A","TCGA-44-7660","tumor",60.7675
"TCGA-44-7661-01A","TCGA-44-7661","tumor",71.93
"TCGA-44-7662-01A","TCGA-44-7662","tumor",166.7599
"TCGA-44-7667-01A","TCGA-44-7667","tumor",381.5969
"TCGA-44-7669-01A","TCGA-44-7669","tumor",19.1801
"TCGA-44-7670-01A","TCGA-44-7670","tumor",155.335
"TCGA-44-7671-01A","TCGA-44-7671","tumor",37.4762
"TCGA-44-7672-01A","TCGA-44-7672","tumor",74.1898
"TCGA-44-8117-01A","TCGA-44-8117","tumor",243.2404
"TCGA-44-8119-01A","TCGA-44-8119","tumor",143.5576
"TCGA-44-8120-01A","TCGA-44-8120","tumor",167.7516
"TCGA-44-A479-01A","TCGA-44-A479","tumor",51.538
"TCGA-44-A47A-01A","TCGA-44-A47A","tumor",206.6581
"TCGA-44-A47B-01A","TCGA-44-A47B","tumor",27.1294
"TCGA-44-A47G-01A","TCGA-44-A47G","tumor",210.0978
"TCGA-44-A4SS-01A","TCGA-44-A4SS","tumor",50.2337
"TCGA-44-A4SU-01A","TCGA-44-A4SU","tumor",118.0045
"TCGA-49-4486-01A","TCGA-49-4486","tumor",333.471
"TCGA-49-4487-01A","TCGA-49-4487","tumor",121.3142
"TCGA-49-4488-01A","TCGA-49-4488","tumor",313.5865
"TCGA-49-4490-01A","TCGA-49-4490","tumor",148.6755
"TCGA-49-4494-01A","TCGA-49-4494","tumor",78.6541
"TCGA-49-4501-01A","TCGA-49-4501","tumor",374.79
"TCGA-49-4505-01A","TCGA-49-4505","tumor",371.4791
"TCGA-49-4506-01A","TCGA-49-4506","tumor",127.1436
"TCGA-49-4507-01A","TCGA-49-4507","tumor",357.2397
"TCGA-49-4510-01A","TCGA-49-4510","tumor",1021.7241
"TCGA-49-4512-01A","TCGA-49-4512","tumor",259.6695
"TCGA-49-4514-01A","TCGA-49-4514","tumor",45.9064
"TCGA-49-6742-01A","TCGA-49-6742","tumor",38.0313
"TCGA-49-6743-01A","TCGA-49-6743","tumor",228.318
"TCGA-49-6744-01A","TCGA-49-6744","tumor",41.7515
"TCGA-49-6745-01A","TCGA-49-6745","tumor",24.0786
"TCGA-49-6761-01A","TCGA-49-6761","tumor",143.6774
"TCGA-49-6767-01A","TCGA-49-6767","tumor",88.9763
"TCGA-49-AAQV-01A","TCGA-49-AAQV","tumor",251.1024
"TCGA-49-AAR0-01A","TCGA-49-AAR0","tumor",218.5969
"TCGA-49-AAR2-01A","TCGA-49-AAR2","tumor",88.4737
"TCGA-49-AAR3-01A","TCGA-49-AAR3","tumor",157.169
"TCGA-49-AAR4-01A","TCGA-49-AAR4","tumor",431.6078
"TCGA-49-AAR9-01A","TCGA-49-AAR9","tumor",99.9495
"TCGA-49-AARE-01A","TCGA-49-AARE","tumor",62.8584
"TCGA-49-AARN-01A","TCGA-49-AARN","tumor",50.8657
"TCGA-49-AARO-01A","TCGA-49-AARO","tumor",242.0871
"TCGA-49-AARQ-01A","TCGA-49-AARQ","tumor",204.1124
"TCGA-49-AARR-01A","TCGA-49-AARR","tumor",96.4103
"TCGA-4B-A93V-01A","TCGA-4B-A93V","tumor",57.251
"TCGA-50-5044-01A","TCGA-50-5044","tumor",81.8833
"TCGA-50-5045-01A","TCGA-50-5045","tumor",664.0821
"TCGA-50-5049-01A","TCGA-50-5049","tumor",525.3683
"TCGA-50-5051-01A","TCGA-50-5051","tumor",37.1805
"TCGA-50-5055-01A","TCGA-50-5055","tumor",412.7907
"TCGA-50-5066-01A","TCGA-50-5066","tumor",1146.3415
"TCGA-50-5068-01A","TCGA-50-5068","tumor",1216.7723
"TCGA-50-5072-01A","TCGA-50-5072","tumor",54.5035
"TCGA-50-5930-01A","TCGA-50-5930","tumor",162.0224
"TCGA-50-5931-01A","TCGA-50-5931","tumor",67.5505
"TCGA-50-5932-01A","TCGA-50-5932","tumor",19.5761
"TCGA-50-5933-01A","TCGA-50-5933","tumor",33.5702
"TCGA-50-5935-01A","TCGA-50-5935","tumor",38.6503
"TCGA-50-5936-01A","TCGA-50-5936","tumor",70.8333
"TCGA-50-5939-01A","TCGA-50-5939","tumor",81.1972
"TCGA-50-5941-01A","TCGA-50-5941","tumor",89.7436
"TCGA-50-5942-01A","TCGA-50-5942","tumor",24.9331
"TCGA-50-5944-01A","TCGA-50-5944","tumor",21.8631
"TCGA-50-5946-01A","TCGA-50-5946","tumor",184.3069
"TCGA-50-6590-01A","TCGA-50-6590","tumor",139.4783
"TCGA-50-6591-01A","TCGA-50-6591","tumor",206.9295
"TCGA-50-6592-01A","TCGA-50-6592","tumor",61.0446
"TCGA-50-6593-01A","TCGA-50-6593","tumor",325.1956
"TCGA-50-6594-01A","TCGA-50-6594","tumor",328.6197
"TCGA-50-6595-01A","TCGA-50-6595","tumor",84.836
"TCGA-50-6597-01A","TCGA-50-6597","tumor",75.4006
"TCGA-50-6673-01A","TCGA-50-6673","tumor",56.9994
"TCGA-50-7109-01A","TCGA-50-7109","tumor",45.0995
"TCGA-50-8457-01A","TCGA-50-8457","tumor",166.4225
"TCGA-50-8459-01A","TCGA-50-8459","tumor",137.5583
"TCGA-50-8460-01A","TCGA-50-8460","tumor",153.6369
"TCGA-53-7624-01A","TCGA-53-7624","tumor",62.7053
"TCGA-53-7626-01A","TCGA-53-7626","tumor",118.997
"TCGA-53-7813-01A","TCGA-53-7813","tumor",122.3022
"TCGA-53-A4EZ-01A","TCGA-53-A4EZ","tumor",35.1962
"TCGA-55-1592-01A","TCGA-55-1592","tumor",88.0016
"TCGA-55-1594-01A","TCGA-55-1594","tumor",35.9552
"TCGA-55-1595-01A","TCGA-55-1595","tumor",143.679
"TCGA-55-1596-01A","TCGA-55-1596","tumor",27.164
"TCGA-55-5899-01A","TCGA-55-5899","tumor",44.5778
"TCGA-55-6543-01A","TCGA-55-6543","tumor",18.9521
"TCGA-55-6642-01A","TCGA-55-6642","tumor",95.9699
"TCGA-55-6712-01A","TCGA-55-6712","tumor",29.8992
"TCGA-55-6968-01A","TCGA-55-6968","tumor",202.055
"TCGA-55-6969-01A","TCGA-55-6969","tumor",183.513
"TCGA-55-6970-01A","TCGA-55-6970","tumor",80.7645
"TCGA-55-6971-01A","TCGA-55-6971","tumor",83.9303
"TCGA-55-6972-01A","TCGA-55-6972","tumor",359.4863
"TCGA-55-6975-01A","TCGA-55-6975","tumor",79.6312
"TCGA-55-6978-01A","TCGA-55-6978","tumor",54.5498
"TCGA-55-6979-01A","TCGA-55-6979","tumor",73.1611
"TCGA-55-6980-01A","TCGA-55-6980","tumor",158.8152
"TCGA-55-6981-01A","TCGA-55-6981","tumor",41.9737
"TCGA-55-6982-01A","TCGA-55-6982","tumor",163.1712
"TCGA-55-6983-01A","TCGA-55-6983","tumor",64.8333
"TCGA-55-6984-01A","TCGA-55-6984","tumor",29.2505
"TCGA-55-6985-01A","TCGA-55-6985","tumor",242.194
"TCGA-55-6986-01A","TCGA-55-6986","tumor",28.9317
"TCGA-55-6987-01A","TCGA-55-6987","tumor",140.1024
"TCGA-55-7227-01A","TCGA-55-7227","tumor",36.6275
"TCGA-55-7281-01A","TCGA-55-7281","tumor",181.9373
"TCGA-55-7283-01A","TCGA-55-7283","tumor",71.6792
"TCGA-55-7570-01A","TCGA-55-7570","tumor",68.1961
"TCGA-55-7573-01A","TCGA-55-7573","tumor",36.245
"TCGA-55-7574-01A","TCGA-55-7574","tumor",87.311
"TCGA-55-7576-01A","TCGA-55-7576","tumor",135.9453
"TCGA-55-7724-01A","TCGA-55-7724","tumor",13.0261
"TCGA-55-7725-01A","TCGA-55-7725","tumor",6.3025
"TCGA-55-7726-01A","TCGA-55-7726","tumor",28.394
"TCGA-55-7727-01A","TCGA-55-7727","tumor",6.1284
"TCGA-55-7728-01A","TCGA-55-7728","tumor",184.938
"TCGA-55-7815-01A","TCGA-55-7815","tumor",6.012
"TCGA-55-7816-01A","TCGA-55-7816","tumor",15.3548
"TCGA-55-7903-01A","TCGA-55-7903","tumor",138.9586
