"id","height","gender","X","interro1","interro2","interro3","interro4"
"A28684",168,"F",0.223232661640596,19,16,10,12
"A23294",194,"F",-0.0136658379792966,5,19,8,16
"A73562",178,"F",-0.957878105251745,15,3,13,9
"A46990",177,"M",-0.466852087582371,4,10,17,20
"A33362",158,"M",-0.495868570644674,19,14,16,11
"A97382",182,"M",-0.660371433555135,1,10,14,15
"A11808",165,"M",-1.04352114544066,20,18,9,8
"A07307",166,"M",0.321519971455179,4,9,20,15
"A42460",184,"F",0.545146877203088,6,12,15,17
"A18663",170,"M",NA,2,14,17,13
"A37865",158,"M",1.37638412297219,12,6,11,19
"A05172",193,"F",1.01251924845691,13,18,18,18
"A12880",151,"M",NA,20,3,16,NA
"A16457",181,"M",-1.07241788374896,NA,12,19,16
"A99363",185,"F",0.428912683617376,17,6,13,15
"A20007",169,"M",NA,13,NA,12,6
"A85168",179,"F",-0.0906465712382029,20,16,17,8
"A54688",179,"M",0.791847550372333,9,13,17,6
"A21718",185,"F",0.0687546534829158,15,7,13,18
"A94978",180,"F",-0.613966444488069,1,19,18,12
"A02733",173,"M",-0.714181239034769,13,12,11,18
"A51807",184,"F",0.324249513315477,4,19,19,8
"A02674",183,"F",0.343282350057935,19,19,16,12
"A34265",166,"M",-0.439619408117634,17,8,18,16
"A72656",161,"M",NA,17,15,17,6
"A22593",177,"M",-0.919759738371517,17,17,NA,10
"A05579",172,"F",1.78311081665491,8,19,17,17
"A02888",165,"F",-1.42171189639136,20,3,10,18
"A64170",176,"M",1.64218336197998,10,1,15,19
"A98715",162,"F",0.124236888180545,10,20,17,20
"A62008",177,"F",0.00112331300114884,7,8,11,NA
"A95591",169,"F",-1.32897592269806,1,15,16,20
"A35307",185,"F",0.779726615450189,19,11,9,16
"A64194",199,"F",1.29044748552405,4,8,17,12
"A98628",166,"M",-1.02056778040676,6,15,NA,11
"A81950",186,"F",0.704704540212597,13,18,16,9
"A08793",183,"F",1.32875193329595,11,3,16,17
"A87694",174,"M",1.71664909527313,20,8,13,12
"A44960",170,"M",-0.859586189686864,2,16,9,12
"A44983",191,"F",-1.01355029355949,11,5,14,7
"A96616",155,"F",-0.220246236518649,19,13,9,11
"A42264",169,"M",0.158823107127909,18,8,17,19
"A27610",161,"F",-0.869274054507589,18,13,12,14
"A36820",189,"F",-0.730637688626576,16,12,15,NA
"A83369",173,"M",1.11163317335718,3,14,12,11
"A51826",170,"M",-0.166381365922029,2,17,10,7
"A09585",207,"F",0.967695271665761,2,10,14,10
"A57644",174,"M",-0.498319395349394,9,8,13,16
"A46094",171,"M",0.926885841307693,16,17,19,11
"A85808",178,"M",0.0811430999574115,18,11,9,15
"A78592",159,"F",-0.114458509745484,8,15,8,13
"A36397",180,"M",-1.86499802002922,16,17,10,18
"A44740",174,"F",-1.42195715265349,9,9,20,14
"A27298",180,"F",0.710841370103194,14,9,13,8
"A05593",165,"M",NA,15,18,16,NA
"A95608",165,"M",-1.06603269225146,14,15,8,6
"A24846",168,"F",0.163432373657258,17,13,14,7
"A82329",167,"M",0.915459489780014,6,15,8,18
"A19381",188,"M",-0.293764362927374,3,15,NA,12
"A20713",191,"F",0.829990553413801,1,6,19,16
"A65927",173,"M",-1.25932214505509,0,6,10,17
"A53815",171,"F",1.00316941443099,18,4,11,20
"A21855",172,"F",0.762974146457261,16,19,19,20
"A76605",176,"M",NA,1,6,8,8
"A66006",176,"M",0.306420866882492,2,10,18,15
"A17494",178,"F",1.2053838262019,3,1,13,6
"A35059",168,"M",-1.00272578689147,11,17,9,13
"A40001",167,"F",-0.892245924209741,15,9,19,17
"A82752",187,"M",0.0301489112719819,2,10,10,11
"A60816",170,"F",-0.421998576118089,2,19,17,20
"A21722",178,"M",-0.24742509974211,11,8,13,15
"A43751",174,"F",0.644151150048481,NA,15,16,12
"A21233",165,"F",0.218513364859556,9,16,NA,NA
"A09528",181,"M",1.52490474086339,2,5,19,18
"A57613",177,"M",NA,19,2,8,12
"A17412",189,"M",0.519500645145293,15,7,10,10
"A14462",176,"M",0.0247420721619639,9,14,11,14
"A18108",172,"F",-0.970649504040792,14,16,17,18
"A74411",178,"M",-1.69601956358618,6,14,13,14
"A54640",163,"M",0.662820286341177,13,19,11,15
"A28256",167,"M",-0.0829309595961911,7,1,9,17
"A17230",180,"F",NA,14,8,14,16
"A49112",172,"F",0.292763360353247,8,13,13,19
"A54755",174,"M",-0.0979093921838044,14,2,NA,7
"A21769",174,"M",NA,5,1,9,15
"A74147",168,"F",-0.925654687802906,15,3,18,9
"A98104",155,"F",0.840684899832981,12,15,8,13
"A09191",178,"F",-0.641055073367336,0,18,18,10
"A77618",183,"F",-1.45891562001412,7,7,10,19
"A81032",162,"M",1.17781776101491,9,6,9,11
"A91964",190,"F",-2.2792195849826,8,5,10,14
"A75390",179,"M",0.272207844930452,11,20,NA,7
"A67146",188,"M",0.551074369409519,18,10,20,NA
"A96313",165,"F",0.404754543802055,16,14,20,17
"A03794",177,"F",-0.603832897874626,1,19,12,13
"A06349",174,"M",-0.922031005142785,2,13,9,8
"A71288",183,"M",0.479910722309014,6,6,16,NA
"A22452",169,"M",0.105881567596058,6,19,15,15
"A07896",175,"M",-1.14037795330152,15,15,NA,6
"A28085",157,"M",-0.971485822343571,2,1,18,6
"A91311",167,"M",-1.06965181502551,NA,13,11,12
"A54895",176,"M",-1.90217702203491,17,18,18,8
"A13010",168,"M",1.05386673938074,12,3,9,13
"A36739",175,"M",NA,18,20,19,20
"A13348",170,"M",-0.380597979114341,0,1,8,9
