ref	KEM182-01	KEM182-02	KEM182-03	KEM182-04	KEM182-05	KEM182-06	KEM182-07	KEM182-08	KEM182-09	KEM182-10	KEM182-11	KEM182-12	KEM182-13	KEM182-14	KEM182-15	KEM182-16
ENSG00000000419	719	510	632	613	615	551	565	1073	465	313	683	615	552	576	639	623
ENSG00000001084	947	733	841	848	882	755	603	1078	643	687	799	773	607	642	638	720
ENSG00000001167	2496	2019	2216	2434	2832	2206	1848	3146	1583	2577	2138	2197	2139	1967	2025	2082
ENSG00000001461	593	326	439	576	482	434	483	876	695	538	602	700	762	835	676	867
ENSG00000001497	1298	945	1058	1246	1217	1010	800	1445	898	1159	1098	1277	922	816	877	928
ENSG00000001629	973	662	751	761	855	724	671	1227	787	517	902	802	868	994	945	931
ENSG00000002549	894	737	851	795	824	722	598	1067	891	826	1062	1129	904	846	850	824
ENSG00000002586	4045	2793	3815	3919	3385	2970	2792	5486	1869	1229	3240	3626	2411	2796	2774	3317
ENSG00000002834	3016	1874	2250	2695	2485	2258	2389	4104	2266	1852	2601	2832	3868	4170	4037	4202
ENSG00000003056	1786	1430	1621	1705	1785	1510	1445	2355	2253	2665	2300	2400	1517	1491	1537	1531
ENSG00000003393	680	523	606	618	658	568	604	1053	566	520	657	637	675	726	797	776
ENSG00000003402	895	610	794	802	752	684	565	1106	679	545	848	762	837	910	777	934
ENSG00000003756	1348	992	1144	1082	1294	1103	979	1479	917	954	1071	1109	1090	1020	1050	1082
ENSG00000004059	924	671	845	956	927	780	718	1149	731	777	860	1034	935	976	902	889
ENSG00000004142	1902	1471	1675	1804	1736	1428	1209	2100	1755	1959	1890	2157	1710	1843	1615	1634
ENSG00000004399	802	747	761	829	1204	707	624	1029	900	1287	925	1023	877	757	691	821
ENSG00000004455	3766	2876	3550	3245	3071	2614	2447	4276	2391	2191	3614	3486	2374	2695	2612	2874
ENSG00000004478	3327	3178	3398	3564	3173	2720	2048	3575	2355	2761	3363	3515	2837	2997	2482	2838
ENSG00000004487	2846	2250	2857	2867	2700	2260	2136	3664	1785	1872	2749	2729	2091	2266	2251	2334
