ref	KEM182-01	KEM182-02	KEM182-03	KEM182-04	KEM182-05	KEM182-06	KEM182-07	KEM182-08	KEM182-09	KEM182-10	KEM182-11	KEM182-12	KEM182-13	KEM182-14	KEM182-15	KEM182-16
ENSG00000126457	3762	3461	3950	4365	4440	3601	2643	4180	3271	7281	3783	4865	4193	3539	3229	3205
ENSG00000126461	1028	829	1036	1092	1139	966	857	1325	1054	1050	1211	1371	1312	1302	1226	1266
ENSG00000126464	1058	641	788	845	859	744	667	1229	633	527	797	894	776	897	834	986
ENSG00000126524	433	338	394	345	377	335	331	566	621	392	688	701	883	897	728	773
ENSG00000126581	994	684	839	822	864	750	716	1076	1257	1125	1227	1291	984	1010	892	894
ENSG00000126602	2364	1744	1937	2445	2181	1847	1505	2444	1987	2886	2031	2679	2392	2325	2100	2125
ENSG00000126698	1872	1473	1693	1619	1560	1311	1339	2224	1222	1355	1780	1755	1533	1685	1549	1589
ENSG00000126746	1736	1309	1549	1530	1807	1480	1207	1863	1349	1969	1480	1548	1420	1300	1291	1256
ENSG00000126749	1368	1252	1353	1320	1390	1149	896	1602	1104	1144	1236	1381	1186	1216	1064	1174
ENSG00000126767	676	523	616	617	642	502	497	787	608	441	803	756	574	612	538	626
ENSG00000126773	1774	1449	1519	1375	1496	1281	1263	2249	951	641	1688	1350	1151	1411	1394	1515
ENSG00000126777	3034	2435	2920	2679	2523	2116	2173	3756	2197	1651	3448	2969	2666	2874	2745	2820
ENSG00000126787	1032	806	982	983	923	780	932	1602	767	479	1138	1115	880	1061	1124	1134
ENSG00000126804	1066	790	831	822	934	749	721	1267	665	501	899	883	596	666	751	727
ENSG00000126882	1014	884	1000	1171	1034	903	897	1585	459	644	831	896	612	672	745	924
ENSG00000126883	1408	1027	1273	1189	1276	1172	991	1556	1292	1355	1365	1313	1314	1334	1113	1187
ENSG00000126934	1698	1116	1479	1504	1495	1309	1153	1965	1541	1268	1772	1925	1738	2054	1787	1938
ENSG00000126945	629	464	618	544	603	454	528	806	539	392	670	712	494	594	526	621
ENSG00000127022	9670	6817	9362	7586	7375	6971	6393	9906	11362	7218	14329	11666	8743	10888	9476	8940
ENSG00000127054	1021	724	885	964	1090	907	685	1095	1038	1241	974	1154	1071	1122	852	907
ENSG00000127124	727	648	723	746	814	613	602	816	1012	513	1142	851	816	649	972	844
ENSG00000127152	1616	1022	1301	1301	1330	1113	1028	1769	581	636	1014	1017	705	777	846	1071
ENSG00000127184	1629	1111	1705	1437	1406	1431	935	1422	1361	1119	1678	1722	1188	1720	1338	1493
ENSG00000127191	754	601	621	765	756	662	583	948	507	522	589	754	774	726	761	793
ENSG00000127314	1915	1597	1821	1947	1892	1581	1623	2763	1286	1065	2110	2188	1598	1610	1698	1904
ENSG00000127418	504	468	557	697	833	658	420	622	1872	10298	1465	1940	2153	1485	969	944
ENSG00000127445	1334	909	1128	1205	1144	1047	912	1366	790	727	1130	1340	983	1150	941	1121
ENSG00000127463	1641	1099	1440	1479	1515	1224	1118	1864	1758	1635	2012	1942	1526	1750	1492	1574
ENSG00000127481	4600	3707	3946	3919	4985	4107	3418	5153	3969	4307	4260	3826	4391	4182	4132	4003
ENSG00000127483	4546	3084	3866	3187	3374	3029	2820	4642	2296	1570	3615	3028	2735	3534	3410	3575
ENSG00000127511	1059	777	840	863	988	912	729	1147	693	639	813	834	817	847	786	834
ENSG00000127526	1291	993	1098	1151	1250	1080	909	1561	906	1021	1102	1102	906	1004	982	1029
ENSG00000127527	954	610	799	810	737	846	681	1091	629	603	806	820	658	772	777	790
ENSG00000127564	1072	763	986	944	972	767	593	963	743	741	914	946	1154	1285	1005	1043
ENSG00000127586	1516	1132	1299	1267	1634	1344	909	1475	878	1162	1083	1133	1476	1472	1263	1289
ENSG00000127603	6379	4087	4475	4635	5118	4256	4230	6669	4781	3159	4898	4520	5391	5762	5616	5477
ENSG00000127616	6971	5492	6982	7374	7462	6304	5248	8825	4561	7909	6191	6987	5855	5623	5595	5771
ENSG00000127663	794	459	664	656	652	583	492	861	463	562	699	654	691	793	695	727
ENSG00000127804	1178	862	1066	1056	958	782	841	1389	660	531	927	891	750	836	770	841
ENSG00000127837	1309	1010	1172	1270	1261	1052	1002	1784	1524	1259	1544	1709	1388	1602	1433	1539
ENSG00000127870	1073	834	949	963	1024	923	831	1464	932	891	989	1101	1014	935	920	937
ENSG00000127884	771	610	754	837	845	696	590	1053	916	772	917	1136	1002	1239	1045	1081
ENSG00000127914	1363	858	923	881	1028	885	844	1402	711	448	1022	720	748	807	857	803
ENSG00000127922	1155	897	1048	1087	1232	968	763	1235	992	948	1044	1194	1131	940	971	955
ENSG00000127948	527	382	481	534	539	514	422	652	809	1097	678	836	752	694	645	622
ENSG00000127993	1636	664	966	982	1387	924	1057	1829	649	281	999	835	790	868	1032	1094
ENSG00000128039	707	471	666	693	654	491	434	774	484	729	571	756	527	571	492	495
ENSG00000128050	6957	5780	6642	6390	5829	4521	4121	7581	4049	3362	6746	6729	4215	4929	4456	5069
ENSG00000128059	1052	836	974	929	865	678	624	1047	599	560	911	859	664	771	697	744
ENSG00000128159	1292	908	1218	1135	1340	1110	836	1380	928	1246	956	997	1010	1039	921	989
ENSG00000128191	1336	1005	1190	1253	1574	1149	978	1664	1013	1368	1170	1253	1233	1157	1164	1279
ENSG00000128228	470	400	507	565	618	452	356	485	664	1163	588	752	572	574	523	505
ENSG00000128245	1314	1034	1305	1419	1414	1097	944	1628	1151	1561	1441	1614	1481	1412	1332	1564
ENSG00000128272	8901	6518	7879	8392	7840	6242	4978	9117	6129	4632	8104	8685	6015	5932	5329	6107
ENSG00000128322	2835	2721	3524	3184	2367	2086	1033	1366	1129	1880	2423	2644	1251	1421	823	787
ENSG00000128340	3912	2689	3382	4012	3850	3447	2965	4902	2186	3458	2826	3521	2498	2254	2560	2781
