code_ins,lieu_de_residence,hommes,femmes,total,annee
01000,Belgique,5370234,5581032,10951266,2011
02000,Région flamande,3113369,3193269,6306638,2011
03000,Région wallonne,1714482,1811058,3525540,2011
04000,Région de Bruxelles-Capitale,542383,576705,1119088,2011
10000,Province d'Anvers,873370,891403,1764773,2011
11000,Arrondissement d'Anvers,492193,506018,998211,2011
11001,Aartselaar,7082,7229,14311,2011
11002,Anvers,244137,249380,493517,2011
11004,Boechout,6318,6410,12728,2011
11005,Boom,8400,8589,16989,2011
11007,Borsbeek,4928,5279,10207,2011
11008,Brasschaat,17971,19218,37189,2011
11009,Brecht,13767,14034,27801,2011
11013,Edegem,10175,10928,21103,2011
11016,Essen,8969,8950,17919,2011
11018,Hemiksem,5081,5237,10318,2011
11021,Hove (Anvers),3975,4215,8190,2011
11022,Kalmthout,8810,9142,17952,2011
11023,Kapellen (Anvers),12923,13514,26437,2011
11024,Kontich,10161,10423,20584,2011
11025,Lint,4229,4293,8522,2011
11029,Mortsel,12011,12793,24804,2011
11030,Niel,4598,4789,9387,2011
11035,Ranst,9249,9175,18424,2011
11037,Rumst,7330,7426,14756,2011
11038,Schelle,3964,4116,8080,2011
11039,Schilde,9498,9931,19429,2011
11040,Schoten,16308,17292,33600,2011
11044,Stabroek,8893,9068,17961,2011
11050,Wijnegem,4368,4671,9039,2011
11052,Wommelgem,6102,6271,12373,2011
11053,Wuustwezel,9710,9661,19371,2011
11054,Zandhoven,6305,6228,12533,2011
11055,Zoersel,10531,10884,21415,2011
11056,Zwijndrecht,9185,9471,18656,2011
11057,Malle,7215,7401,14616,2011
12000,Arrondissement de Malines,160833,166490,327323,2011
12002,Berlaar,5388,5503,10891,2011
12005,Bonheiden,7083,7573,14656,2011
12007,Bornem,10230,10497,20727,2011
12009,Duffel,8204,8566,16770,2011
12014,Heist-op-den-Berg,19907,20329,40236,2011
12021,Lierre,16598,17525,34123,2011
12025,Malines,40034,41893,81927,2011
12026,Nijlen,10820,11004,21824,2011
12029,Putte,8248,8309,16557,2011
12030,Puurs,8216,8384,16600,2011
12034,Sint-Amands,4036,4108,8144,2011
12035,Sint-Katelijne-Waver,10063,10278,20341,2011
12040,Willebroek,12006,12521,24527,2011
13000,Arrondissement de Turnhout,220344,218895,439239,2011
13001,Arendonk,6428,6427,12855,2011
13002,Baerle-Duc,1294,1300,2594,2011
13003,Balen,10715,10590,21305,2011
13004,Beerse,8430,8605,17035,2011
13006,Dessel,4625,4552,9177,2011
13008,Geel,18784,18699,37483,2011
13010,Grobbendonk,5548,5503,11051,2011
13011,Herentals,13395,13729,27124,2011
13012,Herenthout,4346,4378,8724,2011
13013,Herselt,7313,7073,14386,2011
13014,Hoogstraten,10285,9769,20054,2011
